date, pm25, pm10, o3, no2, so2, co
2023/11/24, 38, 51, 7, 23, 1, 3
2023/11/25, 97, 59, 4, 23, , 5
2023/11/26, 107, 43, 28, 14, , 4
2023/11/27, 70, 23, 23, 8, , 1
2023/11/28, 42, 23, 27, 2, , 1
2023/11/29, 25, 18, 25, 5, , 1
2023/11/30, 29, 38, 16, 18, , 2
2023/12/1, 69, 47, 24, 20, , 4
2023/12/2, 87, 55, 11, 26, 1, 6
2023/12/3, 109, 71, 9, 28, 1, 9
2023/12/4, 147, 89, 4, 36, 3, 12
2023/12/5, 164, 90, 25, 9, 2, 2
2023/12/6, 74, 172, 5, 28, 2, 8
2023/12/7, 169, 144, 4, 35, 3, 11
2023/12/8, 170, 79, 15, 22, 2, 6
2023/12/9, 104, 46, 12, 14, 4, 5
2023/12/10, 78, 36, 11, 15, 2, 4
2023/12/11, 89, 55, 10, 17, , 5
2023/12/12, 149, 69, 3, 22, 2, 14
2023/12/13, 165, 48, 21, 14, 2, 8
2023/12/14, 121, 16, 27, 3, 2, 1
2023/12/15, 40, 19, 25, 2, 2, 1
2023/12/16, 28, 27, 22, 10, 1, 2
2023/12/17, 58, 59, 10, 28, 2, 5
2023/12/18, 133, 33, 27, 11, 2, 5
2023/12/19, 63, 18, 25, 5, 2, 1
2023/12/20, 33, 24, 23, 9, , 1
2023/12/21, 43, 31, 18, 18, , 2
2023/12/22, 58, 42, 25, 14, 1, 3
2023/12/23, 80, 49, 17, 20, 1, 4
2023/12/24, 101, 62, 12, 32, 1, 7
2023/12/25, 141, 42, 22, 22, , 4
2023/12/26, 89, 33, 17, 20, , 6
2023/12/27, 73, 53, 8, 26, 1, 7
2023/12/28, 128, 97, 8, 34, , 12
2023/12/29, 197, 115, 26, 31, , 12
2023/12/30, 219, 20, 26, 9, , 1
2023/12/31, 38, 79, 11, 27, , 7
2023/7/1, 75, 52, 128, 16, 1, 3
2023/7/2, 95, 52, 95, 7, 1, 6
2023/7/3, 105, 23, 63, 6, 1, 4
2023/7/4, 58, 42, 70, 12, , 3
2023/7/5, 68, 41, 101, 14, , 2
2023/7/6, 58, 40, 62, 11, , 2
2023/7/7, 52, 14, 47, 8, , 1
2023/7/8, 21, 16, 60, 10, , 1
2023/7/9, 31, 43, 124, 13, 1, 3
2023/7/10, 72, 32, 105, 7, , 4
2023/7/11, 64, 31, 33, 6, 1, 7
2023/7/12, 82, 17, 30, 8, 1, 5
2023/7/13, 55, 25, 47, 7, , 3
2023/7/14, 65, 14, 41, 6, , 1
2023/7/15, 34, 18, 60, 10, , 1
2023/7/16, 48, 42, 100, 11, , 3
2023/7/17, 73, 46, 96, 12, 1, 3
2023/7/18, 91, 52, 105, 10, 1, 3
2023/7/19, 109, 49, 91, 9, 1, 2
2023/7/20, 96, 41, 42, 7, , 6
2023/7/21, 89, 26, 30, 5, , 5
2023/7/22, 73, 23, 72, 6, , 3
2023/7/23, 64, 49, 88, 10, , 4
2023/7/24, 98, 17, 93, 6, , 2
2023/7/25, 36, 49, 78, 8, , 5
2023/7/26, 104, 37, 80, 8, 1, 5
2023/7/27, 82, 18, 42, 6, 1, 3
2023/7/28, 36, 29, 15, 11, , 5
2023/7/29, 57, 7, 15, 5, 1, 4
2023/7/30, 15, 25, 15, 4, 2, 3
2023/7/31, 62, 29, 19, 6, 1, 4
2023/8/1, 73, 24, 35, 4, , 3
2023/8/2, 86, 47, 42, 4, 1, 3
2023/8/3, 122, 38, 62, 13, , 4
2023/8/4, 89, 23, 49, 8, , 3
2023/8/5, 49, 25, 40, 6, , 5
2023/8/6, 44, 39, 40, 9, , 4
2023/8/7, 76, 51, 61, 10, 1, 5
2023/8/8, 117, 59, 73, 8, 1, 7
2023/8/9, 144, 50, 66, 7, , 7
2023/8/10, 122, 51, 36, 12, , 5
2023/8/11, 114, 10, 46, 6, 1, 3
2023/8/12, 34, 16, 60, 6, 1, 3
2023/8/13, 46, 33, 77, 9, 1, 3
2023/8/14, 71, 41, 79, 9, 1, 4
2023/8/15, 82, 49, 99, 8, , 5
2023/8/16, 102, 33, 94, 6, , 5
2023/8/17, 87, 37, 53, 10, 1, 2
2023/8/18, 66, 55, 107, 14, , 3
2023/8/19, 94, 51, 57, 11, , 5
2023/8/20, 110, 13, 69, 5, 1, 3
2023/8/21, 34, 15, 42, 9, , 2
2023/8/22, 29, 22, 69, 7, , 2
2023/8/23, 40, 16, 34, 7, 1, 3
2023/8/24, 47, 22, 54, 6, 1, 3
2023/8/25, 63, 20, 44, 7, 1, 4
2023/8/26, 58, 34, 47, 10, , 5
2023/8/27, 80, 22, 42, 10, , 3
2023/8/28, 51, 21, 36, 9, , 2
2023/8/29, 45, 33, 59, 9, , 3
2023/8/30, 65, 41, 59, 11, , 4
2023/8/31, 85, 32, 56, 7, 1, 5
2023/9/1, 79, 47, 63, 13, , 6
2023/9/2, 97, 44, 80, 8, , 5
2023/9/3, 101, 56, 76, 9, , 5
2023/9/4, 140, 74, 78, 8, , 6
2023/9/5, 161, 59, 81, 10, , 4
2023/9/6, 140, 59, 69, 7, , 6
2023/9/7, 141, 72, 40, 12, 1, 8
2023/9/8, 157, 18, 41, 6, 1, 4
2023/9/9, 63, 24, 35, 6, 1, 5
2023/9/10, 74, 31, 42, 7, , 5
2023/9/11, 83, 14, 40, 9, , 2
2023/9/12, 32, 33, 50, 13, , 4
2023/9/13, 57, 42, 68, 13, , 4
2023/9/14, 80, 48, 81, 14, 1, 4
2023/9/15, 95, 60, 81, 15, 1, 6
2023/9/16, 135, 63, 57, 12, , 6
2023/9/17, 145, 34, 62, 10, , 4
2023/9/18, 76, 20, 23, 12, , 2
2023/9/19, 38, 19, 34, 10, , 2
2023/9/20, 31, 40, 51, 14, , 4
2023/9/21, 66, 23, 34, 10, , 3
2023/9/22, 37, 28, 40, 12, 1, 4
2023/9/23, 57, 45, 10, 19, , 6
2023/9/24, 80, 44, 27, 14, , 5
2023/9/25, 91, 61, 29, 16, , 7
2023/9/26, 147, 46, 30, 12, , 6
2023/9/27, 102, 20, 27, 14, , 2
2023/9/28, 40, 38, 35, 14, , 3
2023/9/29, 54, 15, 29, 7, , 2
2023/9/30, 20, 22, 31, 11, , 1
2023/4/1, 127, 85, 53, 27, 2, 6
2023/4/2, 162, 68, 45, 15, 2, 6
2023/4/3, 129, 36, 33, 7, 1, 3
2023/4/4, 63, 33, 38, 6, 1, 2
2023/4/5, 67, 38, 33, 6, 1, 1
2023/4/6, 58, 28, 35, 6, , 1
2023/4/7, 22, 42, 38, 10, , 1
2023/4/8, 54, 80, 47, 18, 1, 5
2023/4/9, 145, 216, 40, 20, 1, 6
2023/4/10, 180, 453, 36, 4, , 1
2023/4/11, 185, 334, 31, 15, , 5
2023/4/12, 186, 421, 29, 25, , 7
2023/4/13, 202, 158, 38, 11, , 6
2023/4/14, 140, 63, 35, 7, 1, 1
2023/4/15, 72, 46, 38, 9, , 1
2023/4/16, 58, 75, 41, 15, 1, 5
2023/4/17, 112, 58, 52, 16, , 5
2023/4/18, 89, 71, 80, 15, 1, 5
2023/4/19, 96, 72, 35, 5, 1, 2
2023/4/20, 60, 36, 35, 3, , 1
2023/4/21, 38, 26, 26, 5, , 2
2023/4/22, 59, 47, 34, 12, , 3
2023/4/23, 90, 49, 42, 10, , 3
2023/4/24, 82, 70, 37, 6, , 3
2023/4/25, 91, 45, 41, 10, , 1
2023/4/26, 52, 79, 26, 21, , 5
2023/4/27, 132, 55, 36, 6, , 2
2023/4/28, 91, 40, 38, 7, , 1
2023/4/29, 41, 33, 46, 8, , 1
2023/4/30, 47, 66, 81, 14, 1, 4
2023/5/1, 112, 68, 83, 11, 1, 4
2023/5/2, 108, 70, 96, 12, 1, 6
2023/5/3, 122, 48, 39, 6, , 5
2023/5/4, 96, 21, 32, 5, , 2
2023/5/5, 39, 21, 40, 8, 1, 1
2023/5/6, 30, 27, 45, 12, , 2
2023/5/7, 45, 43, 69, 13, , 2
2023/5/8, 67, 49, 70, 13, 1, 4
2023/5/9, 75, 46, 78, 15, , 2
2023/5/10, 70, 60, 90, 13, 1, 3
2023/5/11, 112, 52, 50, 14, , 4
2023/5/12, 114, 24, 54, 9, , 2
2023/5/13, 45, 55, 91, 12, , 3
2023/5/14, 87, 70, 119, 11, 1, 7
2023/5/15, 127, 73, 92, 8, , 4
2023/5/16, 121, 48, 58, 7, , 4
2023/5/17, 84, 42, 58, 11, , 3
2023/5/18, 62, 61, 12, 18, , 6
2023/5/19, 126, 127, 33, 5, 1, 1
2023/5/20, 111, 88, 40, 5, 1, 1
2023/5/21, 81, 33, 43, 9, , 1
2023/5/22, 49, 37, 62, 12, , 2
2023/5/23, 48, 65, 84, 7, 1, 3
2023/5/24, 82, 62, 45, 7, , 4
2023/5/25, 98, 64, 77, 11, , 4
2023/5/26, 121, 71, 37, 10, , 6
2023/5/27, 153, 35, 72, 6, , 3
2023/5/28, 89, 47, 98, 10, , 3
2023/5/29, 85, 50, 42, 11, , 4
2023/5/30, 100, 58, 62, 11, , 5
2023/5/31, 125, 50, 51, 9, , 4
2023/6/1, 93, 27, 51, 8, 1, 1
2023/6/2, 30, 30, 76, 12, , 2
2023/6/3, 40, 24, 63, 11, , 2
2023/6/4, 40, 47, 88, 11, , 3
2023/6/5, 73, 24, 68, 9, , 1
2023/6/6, 47, 46, 66, 14, , 2
2023/6/7, 66, 36, 62, 8, , 1
2023/6/8, 53, 22, 41, 11, , 2
2023/6/9, 43, 14, 45, 5, , 1
2023/6/10, 19, 21, 51, 8, , 2
2023/6/11, 34, 37, 56, 6, , 3
2023/6/12, 80, 14, 67, 9, , 1
2023/6/13, 37, 47, 115, 12, 1, 5
2023/6/14, 80, 55, 143, 11, 2, 5
2023/6/15, 90, 60, 127, 11, 2, 6
2023/6/16, 100, 64, 130, 14, 1, 3
2023/6/17, 110, 68, 126, 9, 1, 5
2023/6/18, 122, 61, 42, 11, 1, 5
2023/6/19, 115, 31, 79, 8, , 3
2023/6/20, 76, 18, 78, 14, , 2
2023/6/21, 41, 40, 109, 16, , 4
2023/6/22, 63, 51, 125, 14, 1, 3
2023/6/23, 81, 50, 105, 12, 1, 4
